Accession,SRR accession,Ethambutol,Isoniazid,Pyrazinamide,Rifampicin,Isolate
SAMEA1019273,ERR046735,S,S,S,S,SAMEA1019273
SAMEA1019324,ERR046739,S,S,S,S,SAMEA1019324
SAMEA1016008,ERR067647,S,R,R,R,SAMEA1016008
SAMEA1019075,ERR046766,S,S,S,S,SAMEA1019075
SAMEA1016089,ERR067721,S,S,S,S,SAMEA1016089
SAMEA1019080,ERR046893,S,S,S,S,SAMEA1019080
SAMEA104172481,ERR2041802,R,R,R,R,SAMEA104172481
SAMEA1016002,ERR067665,R,R,S,R,SAMEA1016002
SAMEA1015922,ERR067718,S,R,S,R,SAMEA1015922
SAMEA1016194,ERR067630,S,S,R,S,SAMEA1016194
SAMEA1018925,ERR046869,S,S,S,S,SAMEA1018925
SAMEA1018884,ERR046911,R,S,S,S,SAMEA1018884
SAMEA1018916,ERR046844,S,S,S,S,SAMEA1018916
SAMEA1019246,ERR046866,S,S,S,S,SAMEA1019246
SAMEA1018985,ERR046925,S,S,S,S,SAMEA1018985
SAMEA1016052,ERR067611,R,R,R,R,SAMEA1016052
SAMEA1019119,ERR047016,S,S,S,S,SAMEA1019119
SAMEA1016147,ERR067655,S,R,R,R,SAMEA1016147
SAMEA1019322,ERR046753,S,S,S,S,SAMEA1019322
SAMEA1018848,ERR046986,S,R,S,S,SAMEA1018848
SAMEA1015958,ERR067579,S,R,S,R,SAMEA1015958
SAMEA1015939,ERR067767,R,R,R,S,SAMEA1015939
SAMEA1019036,ERR046783,S,S,S,S,SAMEA1019036
SAMEA1019024,ERR046943,S,R,S,R,SAMEA1019024
SAMEA1019082,ERR072096,S,S,S,S,SAMEA1019082
SAMEA1019270,ERR046961,S,S,R,S,SAMEA1019270
SAMEA1019003,ERR046884,S,S,S,S,SAMEA1019003
SAMEA1019192,ERR046825,S,S,S,R,SAMEA1019192
SAMEA1018923,ERR046949,S,S,S,S,SAMEA1018923
SAMEA1019281,ERR046983,S,S,S,S,SAMEA1019281
SAMEA1019123,ERR046734,S,S,S,S,SAMEA1019123
SAMEA104172502,ERR2041740,S,R,S,R,SAMEA104172502
SAMEA1018906,ERR046948,S,S,S,S,SAMEA1018906
SAMEA1019133,ERR046971,S,S,S,S,SAMEA1019133
SAMEA1015982,ERR067639,S,R,S,S,SAMEA1015982
SAMEA1018963,ERR046852,S,S,S,S,SAMEA1018963
SAMEA1019052,ERR046831,S,S,S,S,SAMEA1019052
SAMEA1019196,ERR046864,S,S,S,S,SAMEA1019196
SAMEA1018989,ERR046999,S,S,S,S,SAMEA1018989
SAMEA1018897,ERR046843,S,S,S,S,SAMEA1018897
SAMEA1018935,ERR047003,S,S,S,S,SAMEA1018935
SAMEA1016061,ERR067677,S,R,S,R,SAMEA1016061
SAMEA1018899,ERR047014,S,S,S,S,SAMEA1018899
SAMEA1019050,ERR046849,S,S,S,S,SAMEA1019050
SAMEA104446930,ERR2229106,S,S,S,S,SAMEA104446930
SAMEA1019217,ERR046796,R,R,R,R,SAMEA1019217
SAMEA1019200,ERR046729,S,S,S,S,SAMEA1019200
SAMEA1018962,ERR046947,S,S,S,S,SAMEA1018962
SAMEA1018987,ERR047008,S,S,S,S,SAMEA1018987
SAMEA1018983,ERR046778,S,R,S,S,SAMEA1018983
SAMEA1018969,ERR046885,S,S,S,S,SAMEA1018969
SAMEA1019251,ERR046743,S,S,S,S,SAMEA1019251
SAMEA1016018,ERR067608,R,R,S,R,SAMEA1016018
SAMEA1018885,ERR072031,S,S,S,S,SAMEA1018885
SAMEA1018898,ERR046853,S,S,S,S,SAMEA1018898
SAMEA1018889,ERR046770,S,S,S,S,SAMEA1018889
SAMEA1018908,ERR046838,S,S,S,S,SAMEA1018908
SAMEA1019155,ERR046907,S,S,S,S,SAMEA1019155
SAMEA1016063,ERR067624,S,R,R,R,SAMEA1016063
SAMEA1019014,ERR046823,S,S,S,S,SAMEA1019014
SAMEA1019330,ERR046967,S,S,S,S,SAMEA1019330
SAMEA1015933,ERR067595,R,R,S,R,SAMEA1015933
SAMEA1016187,ERR067687,S,R,S,R,SAMEA1016187
SAMEA1019241,ERR046795,S,S,S,S,SAMEA1019241
SAMEA1016025,ERR067675,R,R,S,R,SAMEA1016025
SAMEA1018900,ERR046772,S,S,S,S,SAMEA1018900
SAMEA1019151,ERR046897,S,S,S,S,SAMEA1019151
SAMEA1019178,ERR072027,S,S,S,S,SAMEA1019178
SAMEA1015991,ERR067610,R,R,S,R,SAMEA1015991
SAMEA1016047,ERR067729,S,S,S,S,SAMEA1016047
SAMEA1018990,ERR046883,S,S,S,S,SAMEA1018990
SAMEA1019157,ERR046746,S,S,S,S,SAMEA1019157
SAMEA1015929,ERR067613,R,R,R,R,SAMEA1015929
SAMEA1016103,ERR067627,S,S,S,S,SAMEA1016103
SAMEA1018845,ERR046858,S,S,S,S,SAMEA1018845
SAMEA1018973,ERR072038,S,S,S,S,SAMEA1018973
SAMEA1015988,ERR067730,S,R,R,R,SAMEA1015988
SAMEA1016128,ERR067734,S,R,S,R,SAMEA1016128
SAMEA1016175,ERR067631,S,S,S,S,SAMEA1016175
SAMEA1015986,ERR067673,S,R,S,R,SAMEA1015986
SAMEA1018941,ERR046994,S,S,S,S,SAMEA1018941
SAMEA1018972,ERR072035,S,S,S,S,SAMEA1018972
SAMEA104394396,ERR2199761,S,S,S,S,SAMEA104394396
SAMEA1018977,ERR046938,S,S,S,S,SAMEA1018977
SAMEA1019229,ERR046920,S,S,S,S,SAMEA1019229
SAMEA1019002,ERR046775,S,S,S,S,SAMEA1019002
SAMEA1015968,ERR067668,R,R,S,R,SAMEA1015968
SAMEA104446925,ERR2229097,S,S,S,S,SAMEA104446925
SAMEA1019198,ERR046945,S,S,S,S,SAMEA1019198
SAMEA1019250,ERR046904,S,S,S,S,SAMEA1019250
SAMEA1019029,ERR046996,S,S,S,S,SAMEA1019029
SAMEA1018936,ERR072032,S,S,S,S,SAMEA1018936
SAMEA1016024,ERR067725,S,S,R,S,SAMEA1016024
SAMEA1016029,ERR067597,S,R,S,R,SAMEA1016029
SAMEA1403552,ERR137215,S,R,S,R,SAMEA1403552
SAMEA1018869,ERR046877,S,S,S,S,SAMEA1018869
SAMEA1019169,ERR046910,S,S,S,S,SAMEA1019169
SAMEA1018859,ERR046913,R,S,S,S,SAMEA1018859
SAMEA1019068,ERR046928,S,S,S,S,SAMEA1019068
SAMEA1018866,ERR046951,S,S,S,S,SAMEA1018866
SAMEA1018921,ERR046854,S,S,S,S,SAMEA1018921
SAMEA1016093,ERR067641,S,S,S,S,SAMEA1016093
SAMEA1018881,ERR072020,S,S,S,S,SAMEA1018881
SAMEA1016109,ERR067622,R,R,S,R,SAMEA1016109
SAMEA104394489,ERR2199880,S,S,S,S,SAMEA104394489
SAMEA1018844,ERR046912,S,S,S,S,SAMEA1018844
SAMEA1016080,ERR067603,S,R,S,R,SAMEA1016080
SAMEA1016126,ERR067700,S,S,S,S,SAMEA1016126
SAMEA1019088,ERR046788,S,R,S,S,SAMEA1019088
SAMEA1018950,ERR072029,S,S,S,S,SAMEA1018950
SAMEA1019142,ERR046898,S,S,S,S,SAMEA1019142
SAMEA1018862,ERR046954,S,S,R,S,SAMEA1018862
SAMEA1016198,ERR067658,S,S,S,S,SAMEA1016198
SAMEA1018853,ERR046833,S,S,S,S,SAMEA1018853
SAMEA1019118,ERR046747,S,S,R,S,SAMEA1019118
SAMEA1018981,ERR047000,S,S,S,S,SAMEA1018981
SAMEA1015962,ERR067653,S,R,R,R,SAMEA1015962
SAMEA1019212,ERR046759,S,S,S,S,SAMEA1019212
SAMEA104394483,ERR2199872,S,S,S,S,SAMEA104394483
SAMEA1018920,ERR072048,S,S,S,S,SAMEA1018920
SAMEA1019174,ERR046744,S,S,S,S,SAMEA1019174
SAMEA1016051,ERR067596,S,R,R,R,SAMEA1016051
SAMEA1019048,ERR046779,S,S,S,S,SAMEA1019048
SAMEA104394653,ERR2815569,S,S,R,S,SAMEA104394653
SAMEA1016172,ERR067686,S,S,S,S,SAMEA1016172
SAMEA1016060,ERR067765,S,S,R,S,SAMEA1016060
SAMEA1018911,ERR046991,S,S,S,S,SAMEA1018911
SAMEA104172515,ERR2041792,S,R,S,R,SAMEA104172515
SAMEA1015996,ERR067649,S,S,S,S,SAMEA1015996
SAMEA1018960,ERR046992,S,S,S,S,SAMEA1018960
SAMEA104172458,ERR2041737,R,R,R,R,SAMEA104172458
SAMEA1015978,ERR067654,R,R,R,R,SAMEA1015978
SAMEA1019285,ERR046736,S,S,S,S,SAMEA1019285
SAMEA1019010,ERR047010,S,S,S,S,SAMEA1019010
SAMEA1018998,ERR072044,S,S,S,S,SAMEA1018998
SAMEA1016082,ERR067623,R,R,R,R,SAMEA1016082
SAMEA104394469,ERR2199853,S,R,S,R,SAMEA104394469
SAMEA1016166,ERR067592,R,R,S,R,SAMEA1016166
SAMEA1016091,ERR067607,S,R,R,R,SAMEA1016091
SAMEA1019184,ERR046903,R,R,R,R,SAMEA1019184
SAMEA1019300,ERR046862,S,S,S,S,SAMEA1019300
SAMEA104394490,ERR2199882,S,S,S,S,SAMEA104394490
SAMEA1016113,ERR067733,S,R,S,R,SAMEA1016113
SAMEA1019102,ERR072094,S,S,S,S,SAMEA1019102
SAMEA104394708,ERR2200137,R,R,R,R,SAMEA104394708
SAMEA1018949,ERR046851,S,S,S,S,SAMEA1018949
SAMEA104446923,ERR2229093,S,S,S,S,SAMEA104446923
SAMEA1016021,ERR067599,R,R,S,R,SAMEA1016021
SAMEA104172488,ERR2041708,S,R,R,R,SAMEA104172488
SAMEA1015935,ERR067670,S,R,S,R,SAMEA1015935
SAMEA1018968,ERR046939,S,S,S,S,SAMEA1018968
SAMEA1016159,ERR067758,S,R,S,S,SAMEA1016159
SAMEA1019001,ERR046998,S,S,S,S,SAMEA1019001
SAMEA1019291,ERR072039,S,S,S,S,SAMEA1019291
SAMEA1018980,ERR046940,S,S,S,S,SAMEA1018980
SAMEA1016174,ERR067672,R,R,R,R,SAMEA1016174
SAMEA1018857,ERR046768,S,S,S,S,SAMEA1018857
SAMEA1016033,ERR067637,R,R,S,R,SAMEA1016033
SAMEA1019215,ERR046741,S,S,S,S,SAMEA1019215
SAMEA1016039,ERR067696,S,S,S,S,SAMEA1016039
SAMEA1016000,ERR067726,R,R,S,R,SAMEA1016000
SAMEA1019136,ERR046748,S,S,R,S,SAMEA1019136
SAMEA1018993,ERR047012,S,S,S,S,SAMEA1018993
SAMEA1016006,ERR067674,R,R,S,R,SAMEA1016006
SAMEA1019100,ERR046974,S,S,S,S,SAMEA1019100
SAMEA1016158,ERR067602,R,R,S,R,SAMEA1016158
SAMEA1018976,ERR046777,S,S,S,S,SAMEA1018976
SAMEA1016015,ERR067693,S,R,R,S,SAMEA1016015
SAMEA1016176,ERR067589,R,R,S,R,SAMEA1016176
SAMEA1018846,ERR046953,S,S,S,S,SAMEA1018846
SAMEA1018958,ERR047002,S,R,S,S,SAMEA1018958
SAMEA1018849,ERR046847,S,S,S,S,SAMEA1018849
SAMEA1016019,ERR067731,S,R,S,R,SAMEA1016019
SAMEA1016122,ERR067711,R,R,R,R,SAMEA1016122
SAMEA1016078,ERR067588,R,R,S,R,SAMEA1016078
SAMEA1018867,ERR046989,S,S,R,S,SAMEA1018867
SAMEA1016081,ERR067661,S,R,S,R,SAMEA1016081
